film,year_film,Total oscars nominations,Total oscars won,Oscars main categories nominations,Oscars main categories won,Oscars best picture,G.G. nominations,G.G. won,G.G. main categories nominations,G.G. main categories won,G.G. best motion picture
"Switzerland, Serif Gören, Yilmaz Güney",1982,,,,,,1.0,0.0,0.0,0.0,0.0
One from the Heart,1982,1.0,0.0,0.0,0.0,0.0,,,,,
Blade Runner,1982,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Six Weeks,1982,,,,,,1.0,0.0,0.0,0.0,0.0
"Italy, Franco Zeffirelli",1982,,,,,,1.0,0.0,0.0,0.0,0.0
The Klan: A Legacy of Hate in America,1982,1.0,0.0,0.0,0.0,0.0,,,,,
Shoot The Moon,1982,,,,,,2.0,0.0,2.0,0.0,0.0
Alsino and the Condor,1982,1.0,0.0,0.0,0.0,0.0,,,,,
E.T. The Extra-Terrestrial,1982,8.0,3.0,2.0,0.0,0.0,,,,,
E. T. The Extra-Terrestrial,1982,,,,,,4.0,2.0,2.0,1.0,1.0
Poltergeist,1982,3.0,0.0,0.0,0.0,0.0,,,,,
An Officer and a Gentleman,1982,6.0,2.0,2.0,1.0,0.0,5.0,1.0,4.0,0.0,0.0
Victor Victoria,1982,,,,,,5.0,1.0,4.0,1.0,0.0
The Great Cognito,1982,1.0,0.0,0.0,0.0,0.0,,,,,
Volver a Empezar ('To Begin Again'),1982,1.0,1.0,0.0,0.0,0.0,,,,,
Private Life,1982,1.0,0.0,0.0,0.0,0.0,,,,,
If You Love This Planet,1982,1.0,1.0,0.0,0.0,0.0,,,,,
Quest for Fire,1982,1.0,1.0,0.0,0.0,0.0,,,,,
"Yes, Giorgio",1982,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
My Favorite Year,1982,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
Diner,1982,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
The Flight of the Eagle,1982,1.0,0.0,0.0,0.0,0.0,,,,,
Just Another Missing Kid,1982,1.0,1.0,0.0,0.0,0.0,,,,,
In Our Water,1982,1.0,0.0,0.0,0.0,0.0,,,,,
"Canada, Jean-Jacques Annaud",1982,,,,,,1.0,0.0,0.0,0.0,0.0
Making Love,1982,,,,,,1.0,0.0,0.0,0.0,0.0
Night Shift,1982,,,,,,1.0,0.0,1.0,0.0,0.0
Sredni Vashtar,1982,1.0,0.0,0.0,0.0,0.0,,,,,
"Australia, George Miller",1982,,,,,,1.0,0.0,0.0,0.0,0.0
The Best Little Whorehouse In Texas,1982,,,,,,2.0,0.0,2.0,0.0,0.0
Best Friends,1982,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Gandhi,1982,11.0,8.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,0.0
Gods of Metal,1982,1.0,0.0,0.0,0.0,0.0,,,,,
Sophie's Choice,1982,5.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0
La Traviata,1982,2.0,0.0,0.0,0.0,0.0,,,,,
Tex,1982,,,,,,1.0,0.0,1.0,0.0,0.0
Split Cherry Tree,1982,1.0,0.0,0.0,0.0,0.0,,,,,
Traveling Hopefully,1982,1.0,0.0,0.0,0.0,0.0,,,,,
Tron,1982,2.0,0.0,0.0,0.0,0.0,,,,,
Das Boot,1982,5.0,0.0,1.0,0.0,0.0,,,,,
After the Axe,1982,1.0,0.0,0.0,0.0,0.0,,,,,
Tootsie,1982,9.0,0.0,4.0,0.0,0.0,5.0,3.0,4.0,3.0,1.0
Author! Author!,1982,,,,,,1.0,0.0,1.0,0.0,0.0
Tango,1982,1.0,1.0,0.0,0.0,0.0,,,,,
Annie,1982,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
A Shocking Accident,1982,1.0,1.0,0.0,0.0,0.0,,,,,
Ben's Mill,1982,1.0,0.0,0.0,0.0,0.0,,,,,
The Best Little Whorehouse in Texas,1982,1.0,0.0,1.0,0.0,0.0,,,,,
To Live or Let Die,1982,1.0,0.0,0.0,0.0,0.0,,,,,
"India, Richard Attenborough",1982,,,,,,1.0,1.0,0.0,0.0,0.0
The World According to Garp,1982,2.0,0.0,2.0,0.0,0.0,,,,,
The Verdict,1982,5.0,0.0,4.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0
Star 80,1983,,,,,,1.0,0.0,1.0,0.0,0.0
You Are Free  (Ihr Zent Frei),1983,1.0,0.0,0.0,0.0,0.0,,,,,
Fanny & Alexander,1983,6.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Gorky Park,1983,,,,,,1.0,0.0,1.0,0.0,0.0
Yentl,1983,4.0,1.0,1.0,0.0,0.0,6.0,2.0,4.0,2.0,1.0
Staying Alive,1983,,,,,,1.0,0.0,0.0,0.0,0.0
Spaces: The Architecture of Paul Rudolph,1983,1.0,0.0,0.0,0.0,0.0,,,,,
The Year of Living Dangerously,1983,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Never Cry Wolf,1983,1.0,0.0,0.0,0.0,0.0,,,,,
In the Nuclear Shadow: What Can the Children Tell Us?,1983,1.0,0.0,0.0,0.0,0.0,,,,,
Trading Places,1983,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
To Be or Not to Be,1983,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
Overnight Sensation,1983,1.0,0.0,0.0,0.0,0.0,,,,,
Entre Nous,1983,1.0,0.0,0.0,0.0,0.0,,,,,
Sundae in New York,1983,1.0,1.0,0.0,0.0,0.0,,,,,
Children of Darkness,1983,1.0,0.0,0.0,0.0,0.0,,,,,
Le Bal,1983,1.0,0.0,0.0,0.0,0.0,,,,,
"United Kingdom, Lewis Gilbert",1983,,,,,,1.0,0.0,0.0,0.0,0.0
"United Kingdom, Peter Yates",1983,,,,,,1.0,0.0,0.0,0.0,0.0
Job's Revolt,1983,1.0,0.0,0.0,0.0,0.0,,,,,
Educating Rita,1983,3.0,0.0,2.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0
Terms of Endearment,1983,9.0,4.0,4.0,3.0,1.0,5.0,3.0,4.0,2.0,1.0
Scarface,1983,,,,,,3.0,0.0,2.0,0.0,0.0
WarGames,1983,3.0,0.0,0.0,0.0,0.0,,,,,
Blue Thunder,1983,1.0,0.0,0.0,0.0,0.0,,,,,
Goodie-Two-Shoes,1983,1.0,0.0,0.0,0.0,0.0,,,,,
Testament,1983,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
"Spain, Carlos Saura",1983,,,,,,1.0,0.0,0.0,0.0,0.0
Cross Creek,1983,4.0,0.0,2.0,0.0,0.0,,,,,
Tender Mercies,1983,5.0,2.0,3.0,1.0,0.0,5.0,1.0,4.0,1.0,0.0
Rumble Fish,1983,,,,,,1.0,0.0,0.0,0.0,0.0
Never Say Never Again,1983,,,,,,1.0,0.0,1.0,0.0,0.0
The Profession of Arms,1983,1.0,0.0,0.0,0.0,0.0,,,,,
"Canada, Lewis Gilbert",1983,,,,,,1.0,0.0,0.0,0.0,0.0
Flashdance,1983,3.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0
Silkwood,1983,5.0,0.0,3.0,0.0,0.0,5.0,1.0,5.0,1.0,0.0
Betrayal,1983,1.0,0.0,0.0,0.0,0.0,,,,,
Flamenco at 5:15,1983,1.0,1.0,0.0,0.0,0.0,,,,,
The Pirates of Penzance,1983,,,,,,1.0,0.0,1.0,0.0,0.0
The Right Stuff,1983,7.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Boys and Girls,1983,1.0,1.0,0.0,0.0,0.0,,,,,
The Grey Fox,1983,,,,,,1.0,0.0,1.0,0.0,0.0
First Contact,1983,1.0,0.0,0.0,0.0,0.0,,,,,
The Dresser,1983,4.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
Zelig,1983,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
Seeing Red,1983,1.0,0.0,0.0,0.0,0.0,,,,,
Heart Like a Wheel,1983,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Mickey's Christmas Carol,1983,1.0,0.0,0.0,0.0,0.0,,,,,
Return of the Jedi,1983,4.0,1.0,0.0,0.0,0.0,,,,,
The Return of Martin Guerre,1983,1.0,0.0,0.0,0.0,0.0,,,,,
He Makes Me Feel Like Dancin',1983,1.0,1.0,0.0,0.0,0.0,,,,,
The Sting II,1983,1.0,0.0,0.0,0.0,0.0,,,,,
Sewing Woman,1983,1.0,0.0,0.0,0.0,0.0,,,,,
The Big Chill,1983,3.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
Risky Business,1983,,,,,,1.0,0.0,1.0,0.0,0.0
Under Fire,1983,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
"Reuben, Reuben",1983,2.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
Sound of Sunshine - Sound of Rain,1983,1.0,0.0,0.0,0.0,0.0,,,,,
Carmen,1983,1.0,0.0,0.0,0.0,0.0,,,,,
"Sweden, Ingmar Bergman",1983,,,,,,1.0,1.0,0.0,0.0,0.0
Marlene,1984,1.0,0.0,0.0,0.0,0.0,,,,,
Once Upon a Time in America,1984,,,,,,2.0,0.0,1.0,0.0,0.0
Dangerous Moves,1984,1.0,1.0,0.0,0.0,0.0,,,,,
The Times of Harvey Milk,1984,1.0,1.0,0.0,0.0,0.0,,,,,
El Norte,1984,1.0,0.0,0.0,0.0,0.0,,,,,
Micki & Maude,1984,,,,,,2.0,1.0,2.0,1.0,0.0
Garbo Talks,1984,,,,,,1.0,0.0,1.0,0.0,0.0
2010,1984,5.0,0.0,0.0,0.0,0.0,,,,,
Country,1984,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
The Stone Carvers,1984,1.0,1.0,0.0,0.0,0.0,,,,,
Moscow on the Hudson,1984,,,,,,1.0,0.0,1.0,0.0,0.0
Beverly Hills Cop,1984,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
Beyond the Walls,1984,1.0,0.0,0.0,0.0,0.0,,,,,
Code Gray: Ethical Dilemmas in Nursing,1984,1.0,0.0,0.0,0.0,0.0,,,,,
"River, The (1984)",1984,,,,,,1.0,0.0,1.0,0.0,0.0
The Pope of Greenwich Village,1984,1.0,0.0,1.0,0.0,0.0,,,,,
"France, Francesco Rosi",1984,,,,,,1.0,0.0,0.0,0.0,0.0
The Woman in Red,1984,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
"France, Wim Wenders",1984,,,,,,1.0,0.0,0.0,0.0,0.0
Double Feature,1984,1.0,0.0,0.0,0.0,0.0,,,,,
The Painted Door,1984,1.0,0.0,0.0,0.0,0.0,,,,,
The Muppets Take Manhattan,1984,1.0,0.0,0.0,0.0,0.0,,,,,
Mrs. Soffel,1984,,,,,,1.0,0.0,1.0,0.0,0.0
Give My Regards To Broad Street,1984,,,,,,1.0,0.0,0.0,0.0,0.0
"France, Bertrand Tavernier",1984,,,,,,1.0,0.0,0.0,0.0,0.0
Doctor De Soto,1984,1.0,0.0,0.0,0.0,0.0,,,,,
Up,1984,1.0,1.0,0.0,0.0,0.0,,,,,
Dune,1984,1.0,0.0,0.0,0.0,0.0,,,,,
Wartime Romance,1984,1.0,0.0,0.0,0.0,0.0,,,,,
Irreconcilable Differences,1984,,,,,,2.0,0.0,2.0,0.0,0.0
The Natural,1984,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
The River,1984,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Under the Volcano,1984,2.0,0.0,1.0,0.0,0.0,,,,,
Swing Shift,1984,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Camila,1984,1.0,0.0,0.0,0.0,0.0,,,,,
The Garden of Eden,1984,1.0,0.0,0.0,0.0,0.0,,,,,
Splash,1984,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
"Switzerland, Richard Dembo",1984,,,,,,1.0,0.0,0.0,0.0,0.0
Places in the Heart,1984,7.0,2.0,5.0,1.0,0.0,3.0,1.0,2.0,1.0,0.0
John Carpenter's Starman,1984,,,,,,2.0,0.0,1.0,0.0,0.0
High Schools,1984,1.0,0.0,0.0,0.0,0.0,,,,,
In the Name of the People,1984,1.0,0.0,0.0,0.0,0.0,,,,,
Body Double,1984,,,,,,1.0,0.0,1.0,0.0,0.0
Songwriter,1984,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Recollections of Pavlovsk,1984,1.0,0.0,0.0,0.0,0.0,,,,,
The Bostonians,1984,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
All of Me,1984,,,,,,2.0,0.0,2.0,0.0,0.0
The Cotton Club,1984,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
The Children of Soong Ching Ling,1984,1.0,0.0,0.0,0.0,0.0,,,,,
Purple Rain,1984,1.0,1.0,0.0,0.0,0.0,,,,,
Against All Odds,1984,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ghostbusters,1984,2.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
Starman,1984,1.0,0.0,1.0,0.0,0.0,,,,,
Indiana Jones and the Temple of Doom,1984,2.0,1.0,0.0,0.0,0.0,,,,,
The Killing Fields,1984,7.0,3.0,4.0,1.0,0.0,6.0,1.0,4.0,1.0,0.0
"Greystoke: The Legend of Tarzan, Lord of the Apes",1984,3.0,0.0,1.0,0.0,0.0,,,,,
Amadeus,1984,10.0,7.0,3.0,2.0,1.0,5.0,3.0,4.0,2.0,1.0
Under The Volcano,1984,,,,,,2.0,0.0,2.0,0.0,0.0
A Soldier's Story,1984,3.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
The Flamingo Kid,1984,,,,,,1.0,0.0,1.0,0.0,0.0
The Karate Kid,1984,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
A Passage to India,1984,11.0,2.0,4.0,1.0,0.0,4.0,2.0,2.0,1.0,0.0
Paradise,1984,1.0,0.0,0.0,0.0,0.0,,,,,
Broadway Danny Rose,1984,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Romancing the Stone,1984,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0
Footloose,1984,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"United Kingdom, David Lean",1984,,,,,,1.0,1.0,0.0,0.0,0.0
Streetwise,1984,1.0,0.0,0.0,0.0,0.0,,,,,
Charade,1984,1.0,1.0,0.0,0.0,0.0,,,,,
Tales of Meeting and Parting,1984,1.0,0.0,0.0,0.0,0.0,,,,,
The Courage to Care,1985,1.0,0.0,0.0,0.0,0.0,,,,,
Cocoon,1985,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
"Japan, Akira Kurosawa",1985,,,,,,1.0,0.0,0.0,0.0,0.0
Agnes of God,1985,3.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0
Anna & Bella,1985,1.0,1.0,0.0,0.0,0.0,,,,,
Second Class Mail,1985,1.0,0.0,0.0,0.0,0.0,,,,,
The Statue of Liberty,1985,1.0,0.0,0.0,0.0,0.0,,,,,
A View to a Kill,1985,,,,,,1.0,0.0,0.0,0.0,0.0
Molly's Pilgrim,1985,1.0,1.0,0.0,0.0,0.0,,,,,
A Chorus Line: The Movie,1985,,,,,,2.0,0.0,2.0,0.0,0.0
Kiss of the Spider Woman,1985,4.0,1.0,3.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0
Unfinished Business,1985,1.0,0.0,0.0,0.0,0.0,,,,,
After Hours,1985,,,,,,1.0,0.0,1.0,0.0,0.0
Brazil,1985,2.0,0.0,0.0,0.0,0.0,,,,,
The Color Purple,1985,10.0,0.0,3.0,0.0,0.0,5.0,1.0,4.0,1.0,0.0
"Hungary, István Szabó",1985,,,,,,1.0,0.0,0.0,0.0,0.0
Sweet Dreams,1985,1.0,0.0,1.0,0.0,0.0,,,,,
Graffiti,1985,1.0,0.0,0.0,0.0,0.0,,,,,
"Yugoslavia, Emir Kusturica",1985,,,,,,1.0,0.0,0.0,0.0,0.0
Three Men and a Cradle,1985,1.0,0.0,0.0,0.0,0.0,,,,,
Back To The Future,1985,,,,,,4.0,0.0,2.0,0.0,0.0
Berry Gordy's The Last Dragon,1985,,,,,,1.0,0.0,0.0,0.0,0.0
Las Madres--The Mothers of Plaza de Mayo,1985,1.0,0.0,0.0,0.0,0.0,,,,,
Year of the Dragon,1985,,,,,,2.0,0.0,1.0,0.0,0.0
"Argentina, Luis Puenzo",1985,,,,,,1.0,1.0,0.0,0.0,0.0
Ladyhawke,1985,1.0,0.0,0.0,0.0,0.0,,,,,
The Big Snit,1985,1.0,0.0,0.0,0.0,0.0,,,,,
Making Overtures--The Story of a Community Orchestra,1985,1.0,0.0,0.0,0.0,0.0,,,,,
The Wizard of the Strings,1985,1.0,0.0,0.0,0.0,0.0,,,,,
"Poland, Krzysztof Zanussi",1985,,,,,,1.0,0.0,0.0,0.0,0.0
Colonel Redl,1985,1.0,0.0,0.0,0.0,0.0,,,,,
Soldiers in Hiding,1985,1.0,0.0,0.0,0.0,0.0,,,,,
Twice in a Lifetime,1985,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
The Trip to Bountiful,1985,2.0,1.0,1.0,1.0,0.0,,,,,
Back to the Future,1985,3.0,0.0,0.0,0.0,0.0,,,,,
Silverado,1985,2.0,0.0,0.0,0.0,0.0,,,,,
Mask,1985,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
Angry Harvest,1985,1.0,0.0,0.0,0.0,0.0,,,,,
Maxie,1985,,,,,,1.0,0.0,1.0,0.0,0.0
Mad Max Beyond Thunderdome,1985,,,,,,1.0,0.0,0.0,0.0,0.0
Witness,1985,8.0,2.0,3.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0
Witness to War: Dr. Charlie Clements,1985,1.0,1.0,0.0,0.0,0.0,,,,,
Prizzi's Honor,1985,8.0,1.0,5.0,1.0,0.0,6.0,4.0,5.0,4.0,1.0
Broken Rainbow,1985,1.0,1.0,0.0,0.0,0.0,,,,,
Jagged Edge,1985,1.0,0.0,1.0,0.0,0.0,,,,,
When Father Was Away on Business,1985,1.0,0.0,0.0,0.0,0.0,,,,,
Rainbow War,1985,1.0,0.0,0.0,0.0,0.0,,,,,
The Trip To Bountiful,1985,,,,,,1.0,0.0,1.0,0.0,0.0
The Purple Rose of Cairo,1985,1.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0
Ran,1985,4.0,1.0,1.0,0.0,0.0,,,,,
The Journey of Natty Gann,1985,1.0,0.0,0.0,0.0,0.0,,,,,
Desperately Seeking Susan,1985,,,,,,1.0,0.0,1.0,0.0,0.0
Rambo: First Blood Part II,1985,1.0,0.0,0.0,0.0,0.0,,,,,
A Chorus Line,1985,3.0,0.0,0.0,0.0,0.0,,,,,
Keats and His Nightingale: A Blind Date,1985,1.0,0.0,0.0,0.0,0.0,,,,,
Runaway Train,1985,3.0,0.0,2.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0
Return to Oz,1985,1.0,0.0,0.0,0.0,0.0,,,,,
Murphy's Romance,1985,2.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
Out of Africa,1985,11.0,7.0,4.0,2.0,1.0,6.0,3.0,4.0,2.0,1.0
The Official Story,1985,2.0,1.0,0.0,0.0,0.0,,,,,
Remo Williams: The Adventure Begins,1985,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Young Sherlock Holmes,1985,1.0,0.0,0.0,0.0,0.0,,,,,
White Nights,1985,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
Peggy Sue Got Married,1986,3.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
Witness to Apartheid,1986,1.0,0.0,0.0,0.0,0.0,,,,,
The Assault,1986,1.0,1.0,0.0,0.0,0.0,,,,,
Ferris Bueller's Day Off,1986,,,,,,1.0,0.0,1.0,0.0,0.0
Stand by Me,1986,1.0,0.0,0.0,0.0,0.0,,,,,
Something Wild,1986,,,,,,3.0,0.0,3.0,0.0,0.0
Tough Guys,1986,,,,,,1.0,0.0,0.0,0.0,0.0
Luxo Jr.,1986,1.0,0.0,0.0,0.0,0.0,,,,,
"Italy, Federico Fellini",1986,,,,,,1.0,0.0,0.0,0.0,0.0
Star Trek IV: The Voyage Home,1986,3.0,0.0,0.0,0.0,0.0,,,,,
Top Gun,1986,3.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
Extremities,1986,,,,,,1.0,0.0,1.0,0.0,0.0
The Morning After,1986,1.0,0.0,1.0,0.0,0.0,,,,,
Love Struck,1986,1.0,0.0,0.0,0.0,0.0,,,,,
The Mission,1986,7.0,1.0,2.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0
The Masters of Disaster,1986,1.0,0.0,0.0,0.0,0.0,,,,,
The Karate Kid Part II,1986,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
That's Life,1986,1.0,0.0,0.0,0.0,0.0,,,,,
Little Shop of Horrors,1986,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
Sam,1986,1.0,0.0,0.0,0.0,0.0,,,,,
Platoon,1986,7.0,4.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,1.0
Salvador,1986,2.0,0.0,1.0,0.0,0.0,,,,,
Mona Lisa,1986,1.0,0.0,1.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0
"'night, Mother",1986,,,,,,1.0,0.0,1.0,0.0,0.0
My Beautiful Laundrette,1986,1.0,0.0,0.0,0.0,0.0,,,,,
The Decline of the American Empire,1986,1.0,0.0,0.0,0.0,0.0,,,,,
Crocodile Dundee,1986,,,,,,3.0,1.0,3.0,1.0,0.0
The Mosquito Coast,1986,,,,,,2.0,0.0,1.0,0.0,0.0
Red Grooms: Sunflower in a Hothouse,1986,1.0,0.0,0.0,0.0,0.0,,,,,
The Fly,1986,1.0,1.0,0.0,0.0,0.0,,,,,
"France, Jean-Jacques Beineix",1986,,,,,,1.0,0.0,0.0,0.0,0.0
My Sweet Little Village,1986,1.0,0.0,0.0,0.0,0.0,,,,,
"The Frog, the Dog and the Devil",1986,1.0,0.0,0.0,0.0,0.0,,,,,
Pirates,1986,1.0,0.0,0.0,0.0,0.0,,,,,
The Color of Money,1986,4.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0
Ruthless People,1986,,,,,,1.0,0.0,1.0,0.0,0.0
The Clan of the Cave Bear,1986,1.0,0.0,0.0,0.0,0.0,,,,,
"Women--for America, for the World",1986,1.0,1.0,0.0,0.0,0.0,,,,,
Down and Out In Beverly Hills,1986,,,,,,2.0,0.0,2.0,0.0,0.0
"France, Coline Serreau",1986,,,,,,1.0,0.0,0.0,0.0,0.0
"Italy, Franco Zeffirelli",1986,,,,,,1.0,0.0,0.0,0.0,0.0
"Netherlands, Fons Rademakers",1986,,,,,,1.0,1.0,0.0,0.0,0.0
That's Life!,1986,,,,,,3.0,0.0,2.0,0.0,0.0
Otello,1986,1.0,0.0,0.0,0.0,0.0,,,,,
Stand By Me,1986,,,,,,2.0,0.0,2.0,0.0,0.0
Duet for One,1986,,,,,,1.0,0.0,1.0,0.0,0.0
Poltergeist II: The Other Side,1986,1.0,0.0,0.0,0.0,0.0,,,,,
Running Scared,1986,,,,,,1.0,0.0,0.0,0.0,0.0
Precious Images,1986,1.0,1.0,0.0,0.0,0.0,,,,,
'38',1986,1.0,0.0,0.0,0.0,0.0,,,,,
Exit,1986,1.0,0.0,0.0,0.0,0.0,,,,,
Artie Shaw: Time Is All You've Got,1986,1.0,1.0,0.0,0.0,0.0,,,,,
Betty Blue,1986,1.0,0.0,0.0,0.0,0.0,,,,,
Debonair Dancers,1986,1.0,0.0,0.0,0.0,0.0,,,,,
Hoosiers,1986,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Aliens,1986,6.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Chile: Hasta Cuando?,1986,1.0,0.0,0.0,0.0,0.0,,,,,
Blue Velvet,1986,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
A Room with a View,1986,8.0,3.0,4.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0
Crimes of the Heart,1986,3.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0
Children of a Lesser God,1986,5.0,1.0,4.0,1.0,0.0,3.0,1.0,3.0,1.0,0.0
Legend,1986,1.0,0.0,0.0,0.0,0.0,,,,,
Heartbreak Ridge,1986,1.0,0.0,0.0,0.0,0.0,,,,,
'Round Midnight,1986,2.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
Isaac in America: A Journey with Isaac Bashevis Singer,1986,1.0,0.0,0.0,0.0,0.0,,,,,
Down and Out in America,1986,1.0,1.0,0.0,0.0,0.0,,,,,
A Greek Tragedy,1986,1.0,1.0,0.0,0.0,0.0,,,,,
An American Tail,1986,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hannah and Her Sisters,1986,7.0,3.0,4.0,2.0,0.0,5.0,1.0,4.0,1.0,1.0
'Crocodile' Dundee,1986,1.0,0.0,0.0,0.0,0.0,,,,,
"United Soviet Socialist Republics, Tengiz Abuladze",1987,,,,,,1.0,0.0,0.0,0.0,0.0
Innerspace,1987,1.0,1.0,0.0,0.0,0.0,,,,,
A Stitch for Time,1987,1.0,0.0,0.0,0.0,0.0,,,,,
"Au Revoir Les Enfants (Goodbye, Children)",1987,2.0,0.0,0.0,0.0,0.0,,,,,
Mannequin,1987,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Fatal Attraction,1987,6.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0
The Princess Bride,1987,1.0,0.0,0.0,0.0,0.0,,,,,
In the Wee Wee Hours...,1987,1.0,0.0,0.0,0.0,0.0,,,,,
Course Completed,1987,1.0,0.0,0.0,0.0,0.0,,,,,
House of Games,1987,,,,,,1.0,0.0,0.0,0.0,0.0
The Family,1987,1.0,0.0,0.0,0.0,0.0,,,,,
The Dead,1987,2.0,0.0,0.0,0.0,0.0,,,,,
Making Waves,1987,1.0,0.0,0.0,0.0,0.0,,,,,
Radio Bikini,1987,1.0,0.0,0.0,0.0,0.0,,,,,
Cry Freedom,1987,3.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0
Frances Steloff: Memoirs of a Bookseller,1987,1.0,0.0,0.0,0.0,0.0,,,,,
Your Face,1987,1.0,0.0,0.0,0.0,0.0,,,,,
Young at Heart,1987,1.0,1.0,0.0,0.0,0.0,,,,,
Language Says It All,1987,1.0,0.0,0.0,0.0,0.0,,,,,
Predator,1987,1.0,0.0,0.0,0.0,0.0,,,,,
Moonstruck,1987,6.0,3.0,5.0,2.0,0.0,5.0,2.0,4.0,2.0,0.0
The Glass Menagerie,1987,,,,,,1.0,0.0,0.0,0.0,0.0
Throw Momma From The Train,1987,,,,,,2.0,0.0,2.0,0.0,0.0
